Sample.Name,Core.Section,Tube.Depth,Depth.Mid,Clay,Coarse_Silt,Coarse_VC_Sand,Fine_Sand,Fine_Silt,M_Silt,Med_Sand,VFine_Sand,VFine_Silt
EML20-1A-1N-1_83-84cm,EML20-1A-1N-1,83.5,85.5,19.9760275,14.99009,0.0290298,1.7279956,18.10967,19.69372,1.0186263,10.976076,13.47875
EML20-1A-1N-1_85-86cm,EML20-1A-1N-1,85.5,87.5,18.605935,16.1172,0,0.6421618,19.09132,22.27936,0,9.820238,13.44377
EML20-1A-1N-1_87-88cm,EML20-1A-1N-1,87.5,89.5,17.1360979,19.43945,0,0.1084535,17.04063,22.85198,0,12.175146,11.24823
EML20-1A-1N-1_89-90cm,EML20-1A-1N-1,89.5,91.5,16.205504,18.43495,0,1.522715,15.72665,20.97223,0,16.47553,10.66242
EML20-1A-1N-1_91-92cm,EML20-1A-1N-1,91.5,93.5,14.967715,19.29035,0,1.067118,15.20766,20.39041,0,18.94786,10.12886
EML20-1A-1N-1_93-94cm,EML20-1A-1N-1,93.5,95.5,17.341935,16.89752,0,1.392452,17.10989,21.09174,0,14.27855,11.88789
EML20-1A-1N-1_95-96cm,EML20-1A-1N-1,95.5,97.5,17.064674,17.13832,0,1.388519,17.68814,22.4242,0,12.325238,11.9709
EML20-1A-1N-1_97-98cm,EML20-1A-1N-1,97.5,99.5,24.2267805,11.92777,0,0.4276952,20.04488,18.46082,0,7.721847,17.19022
EML20-1A-1N-1_99-100cm,EML20-1A-1N-1,99.5,101.5,21.7863696,13.73674,0,0.3836346,19.18916,18.80638,0,10.087313,16.01043
EML20-1A-1N-1_101-102cm,EML20-1A-1N-1,101.5,103.5,18.229956,16.65658,0,1.017651,18.1618,22.37417,0,11.251789,12.30803
EML20-1A-1N-1_103-104cm,EML20-1A-1N-1,103.5,105.5,20.442457,15.07587,0,0.337584,19.77321,22.09649,0,7.831715,14.44268
EML20-1A-1N-1_105-106cm,EML20-1A-1N-1,105.5,107.5,20.71154008,14.3877,0,0.09578852,20.72462,22.92611,0,6.052743,15.10146
EML20-1A-1N-1_107-108cm,EML20-1A-1N-1,107.5,109.5,17.3818221,17.52592,0,0.4895847,17.24015,21.45426,0,13.997448,11.91081
EML20-1A-1N-1_109-110cm,EML20-1A-1N-1,109.5,111.5,16.9446684,17.3784,0.2725088,1.5307449,16.94317,22.27763,0.9406062,12.38773,11.32454
EML20-1A-1N-1-W_111-112cm,EML20-1A-1N-1,111.5,113.5,16.26596212,18.15572,0.01819311,2.4669079,15.65578,20.50175,0.7211171,15.29571,10.91889
EML20-1A-1N-1-W_113-114cm,EML20-1A-1N-1,113.5,115.5,20.7446887,16.00502,0,0.2120506,18.50034,21.38037,0,9.26352,13.89402
EML20-1A-1N-1-W_115-116cm,EML20-1A-1N-1,115.5,117.5,19.9841981,16.17979,0,0.3484698,17.47698,19.87634,0,13.126477,13.00776
EML20-1A-1N-1-W_117-118cm,EML20-1A-1N-1,117.5,119.5,17.5886754,18.38998,0,0.8958533,16.83688,21.22867,0,13.011516,12.04841
EML20-1A-1N-1-W_119-120cm,EML20-1A-1N-1,119.5,121.5,21.0691615,13.66664,0.07141065,0.633605,19.51357,21.15162,0.4843396,8.140539,15.26911
EML20-1A-1N-1-W_121-122cm,EML20-1A-1N-1,121.5,123.5,20.8071985,14.825,0,0.3111146,19.36589,21.71736,0,7.912815,15.06062
EML20-1A-1N-1-W_123-124cm,EML20-1A-1N-1,123.5,125.5,23.3983953,13.42704,0,0.01446977,19.92244,21.26977,0,5.6375964,16.33031
EML20-1A-1N-1-W_125-126cm,EML20-1A-1N-1,125.5,127.5,24.01676356,11.99722,0,0.09881778,20.66813,20.86618,0,5.190365,17.16253
EML20-1A-1N-1-W_127-128cm,EML20-1A-1N-1,127.5,129.5,21.44300419,13.49527,0,0.07066799,20.79091,22.79187,0,5.211089,16.1972
EML20-1A-1N-1-W_129-130cm,EML20-1A-1N-1,129.5,131.5,21.9856753,12.41226,0,0.2889912,20.65349,20.3123,0,7.455599,16.89169
EML20-1A-1N-1-W_131-132cm,EML20-1A-1N-1,131.5,133.5,15.480443,16.76081,0.8349413,2.374306,17.44212,20.92614,1.41038,12.14563,12.62524
EML20-1A-1N-1-W_133-134cm,EML20-1A-1N-1,133.5,135.5,19.4815659,15.30491,0,0.5107431,19.04343,21.44065,0,9.57238,14.64632
EML20-1A-1N-1-W_135-136cm,EML20-1A-1N-1,135.5,137.5,23.4892484,12.37452,0,0.6032488,19.49844,19.45674,0,8.280324,16.29747
EML20-1A-1N-1-W_137-138cm,EML20-1A-1N-1,137.5,139.5,20.7655437,13.98711,0,0.6389504,19.45909,20.3014,0,10.138827,14.70906
EML20-1A-1N-1-W_139-140cm,EML20-1A-1N-1,139.5,141.5,19.226038,16.17682,0,0.555451,17.7127,20.88071,0,12.378989,13.06929
EML20-1A-1N-1-W_141-142cm,EML20-1A-1N-1,141.5,143.5,21.3180755,15.46102,0,0.1089809,18.64828,22.68251,0,8.221808,13.55934
EML20-1A-1N-1-W_143-144cm,EML20-1A-1N-1,143.5,145.5,18.4452317,18.95215,0,0.6146844,15.75747,20.86806,0,14.069269,11.29316
EML20-1A-1N-1-W_145-146cm,EML20-1A-1N-1,145.5,147.5,15.867476,20.6684,0,1.175317,14.34301,19.99941,0,18.39657,9.54982
EML20-1A-1N-1-W_147-148cm,EML20-1A-1N-1,147.5,149.5,21.99764894,15.23824,0,0.05778648,18.8247,21.86493,0,8.021338,13.99535
EML20-1A-1N-1-W_149-150cm,EML20-1A-1N-1,149.5,151.5,20.35741335,18.02607,0,0.04483596,17.37762,23.21973,0,8.143976,12.83034
EML20-1A-1N-2_0-1cm,EML20-1A-1N-2,0.5,153,20.43282209,17.19062,0,0.06932629,18.13521,24.06444,0,7.094731,13.01285
EML20-1A-1N-2_2-3cm,EML20-1A-1N-2,2.5,155,18.010257,19.6488,0,0.204321,16.74904,23.69098,0,10.304471,11.39212
EML20-1A-1N-2_4-5cm,EML20-1A-1N-2,4.5,157,21.9303042,15.10593,0,0.1369139,19.17832,23.03639,0,6.404732,14.20742
EML20-1A-1N-2_6-7cm,EML20-1A-1N-2,6.5,159,22.5602173,14.45764,0,0.7186553,18.33871,21.45788,0.1208914,8.066787,14.27921
EML20-1A-1N-2_8-9cm,EML20-1A-1N-2,8.5,161,20.9392533,15.43579,0,0.6733027,18.23935,21.14114,0,10.218254,13.35292
EML20-1A-1N-2_10-11cm,EML20-1A-1N-2,10.5,163,22.4199785,16.35615,0,0.2866018,17.16664,21.32484,0,9.076028,13.36974
EML20-1A-1N-2_12-13cm,EML20-1A-1N-2,12.5,165,19.2065987,18.34405,0,0.3814758,17.10347,23.79844,0,9.146984,12.01898
EML20-1A-1N-2_14-15cm,EML20-1A-1N-2,14.5,167,19.2940974,18.26212,0,0.3648228,17.1388,23.792,0,8.852427,12.29574
EML20-1A-1N-2_16-17cm,EML20-1A-1N-2,16.5,169,21.18812391,16.69782,0,0.01985903,18.12466,23.77474,0,6.7827849,13.41199
EML20-1A-1N-2_18-19cm,EML20-1A-1N-2,18.5,171,20.1667649,16.56604,0,0.3432452,18.02429,22.90329,0,8.983386,13.013
